#PROG: Sep 19 2016, 10:15:58
#RTC: 2016/9/19-10:15:27,
#StatsDelayMs=10000,EdiskDelayMs=1500000,NClickTimes=5,LedsThresh=[30,70,150,350,800,]
#StatsETA=4146,EdiskETA=1494146,isRec=1,clicks=0,maxCPM=0,EDISK_nextIx=301,
#  clickTimes=[5854,5854,5854,5854,5854,]
clicks,maxCPM
1474286343,3,37
1474286353,6,43
1474286363,4,37
1474286373,8,85
1474286383,5,60
1474286393,5,65
1474286403,5,71
1474286413,10,141
1474286423,8,97
1474286433,4,64
1474286443,7,99
1474286453,8,79
1474286463,7,73
1474286473,6,70
1474286483,2,58
1474286493,2,19
1474286503,5,45
1474286513,9,147
1474286523,6,95
1474286533,6,81
1474286543,7,53
1474286553,7,135
1474286563,4,35
1474286573,6,58
1474286583,6,72
1474286593,5,37
1474286603,9,98
1474286613,3,66
1474286623,5,32
1474286633,7,95
1474286643,6,126
1474286653,7,84
1474286663,2,32
1474286673,4,31
1474286683,6,47
1474286693,4,40
1474286703,6,78
1474286713,5,60
1474286723,3,47
1474286733,7,75
1474286743,7,99
1474286753,7,213
1474286763,6,52
1474286773,5,49
1474286783,5,53
1474286793,7,74
1474286803,8,91
1474286813,10,545
1474286823,8,120
1474286833,3,31
1474286843,3,40
1474286853,5,37
1474286863,8,112
1474286873,6,90
1474286883,7,87
1474286893,5,72
1474286903,5,46
1474286913,6,55
1474286923,5,103
1474286933,4,34
1474286943,8,126
1474286953,5,47
1474286963,3,30
1474286973,8,111
1474286983,3,52
1474286993,8,121
1474287003,11,141
1474287013,1,26
1474287023,11,132
1474287033,4,102
1474287043,6,39
1474287053,10,121
1474287063,9,161
1474287073,4,31
1474287083,5,50
1474287094,3,27
1474287104,6,67
1474287114,5,73
1474287124,3,36
1474287134,3,30
1474287144,4,24
1474287154,9,88
1474287164,6,112
1474287174,3,31
1474287184,4,37
1474287194,4,31
1474287204,2,28
1474287214,1,21
1474287224,6,38
1474287234,3,50
1474287244,6,48
1474287254,6,62
1474287264,5,49
1474287274,5,73
1474287284,10,159
1474287294,1,54
1474287304,2,17
1474287314,9,122
1474287324,13,143
1474287334,5,87
1474287344,4,38
1474287354,5,37
1474287364,5,51
1474287374,5,81
1474287384,6,88
1474287394,4,54
1474287404,1,19
1474287414,3,20
1474287424,9,79
1474287434,11,152
1474287444,4,84
1474287454,6,75
1474287464,5,53
1474287474,6,81
1474287484,5,110
1474287494,7,58
1474287504,4,52
1474287514,3,31
1474287524,8,142
1474287534,6,57
1474287544,5,98
1474287554,4,52
1474287564,5,42
1474287574,12,185
1474287584,4,34
1474287594,4,34
1474287604,6,94
1474287614,5,57
1474287624,3,25
#Long loop: REC=1
1474287634,3,46
1474287644,6,69
1474287654,5,62
1474287664,7,69
1474287674,6,109
1474287684,3,50
1474287694,4,26
1474287704,3,32
1474287714,7,39
1474287724,1,24
1474287734,4,39
1474287744,6,91
1474287754,7,109
1474287764,4,89
1474287774,8,75
1474287784,6,61
1474287794,8,113
1474287804,8,112
1474287814,2,32
1474287824,7,68
1474287834,11,118
1474287844,6,79
1474287854,6,41
1474287864,8,97
1474287874,8,116
1474287884,6,69
1474287894,2,53
1474287904,5,53
1474287914,8,72
1474287924,7,88
1474287934,6,75
1474287944,8,117
1474287954,5,93
1474287964,6,51
1474287974,6,81
1474287984,10,339
1474287994,8,61
1474288004,9,100
1474288014,4,120
1474288024,6,67
1474288034,5,44
1474288044,5,49
1474288054,6,60
1474288064,9,107
1474288074,6,70
1474288084,5,56
1474288094,4,26
1474288104,3,59
1474288114,2,26
1474288124,6,70
1474288134,6,82
1474288144,4,41
1474288154,4,33
1474288164,3,36
1474288175,9,108
1474288185,5,63
1474288195,4,35
1474288205,6,70
1474288215,6,76
1474288225,10,160
1474288235,6,67
1474288245,9,240
1474288255,5,126
1474288265,8,117
1474288275,3,92
1474288285,4,27
1474288295,4,37
1474288305,4,35
1474288315,10,208
1474288325,4,40
1474288335,7,54
1474288345,4,105
1474288355,4,27
1474288365,8,75
1474288375,5,93
1474288385,5,33
1474288395,3,56
1474288405,2,25
1474288415,6,52
1474288425,8,100
1474288435,6,57
1474288445,4,63
1474288455,4,37
1474288465,12,204
1474288475,3,53
1474288485,4,33
1474288495,4,27
1474288505,15,925
1474288515,6,104
1474288525,6,70
1474288535,6,66
1474288545,6,50
1474288555,11,223
1474288565,2,45
1474288575,6,70
1474288585,6,94
1474288595,2,24
1474288605,7,67
1474288615,10,157
1474288625,4,55
1474288635,10,95
1474288645,5,74
1474288655,6,47
1474288665,3,52
1474288675,4,43
1474288685,4,32
1474288695,7,112
1474288705,4,60
1474288715,6,55
1474288725,5,70
1474288735,3,63
1474288745,9,91
1474288755,9,140
1474288765,5,60
1474288775,3,25
1474288785,5,46
1474288795,6,46
1474288805,5,56
1474288815,7,77
1474288825,4,54
1474288835,8,118
1474288845,9,93
1474288855,4,97
1474288865,12,336
1474288875,9,110
1474288885,6,138
1474288895,8,120
1474288905,8,168
1474288915,3,45
1474288925,2,18
1474288935,7,57
1474288945,2,72
1474288955,8,103
1474288965,7,194
1474288975,7,91
1474288985,10,142
1474288995,6,120
1474289005,4,101
1474289015,8,61
1474289025,7,77
1474289035,6,73
1474289045,5,75
1474289055,2,27
1474289065,5,37
1474289075,8,240
1474289085,9,259
1474289095,2,88
1474289105,9,100
1474289115,8,102
1474289125,8,120
#Long loop: REC=1
1474289135,4,45
1474289145,7,86
1474289155,8,72
1474289165,4,47
1474289175,3,21
1474289185,5,63
1474289195,11,190
1474289205,7,64
1474289215,5,66
1474289225,3,66
1474289236,4,26
1474289246,4,29
1474289256,2,36
1474289266,10,127
1474289276,8,110
1474289286,6,107
1474289296,10,210
1474289306,7,206
1474289316,7,78
1474289326,6,115
1474289336,6,73
1474289346,9,249
1474289356,5,71
1474289366,5,44
1474289376,6,70
1474289386,4,63
1474289396,7,83
1474289406,6,59
1474289416,6,53
1474289426,6,59
1474289436,3,48
1474289446,5,34
1474289456,7,77
1474289466,5,55
1474289476,6,65
1474289486,7,101
1474289496,5,41
1474289506,6,51
1474289516,5,54
1474289526,4,30
1474289536,2,24
1474289546,7,51
1474289556,3,35
1474289566,4,31
1474289576,8,159
1474289586,3,92
1474289596,5,43
1474289606,6,59
1474289616,7,288
1474289626,4,45
1474289636,3,36
1474289646,3,32
1474289656,8,133
1474289666,7,71
1474289676,4,40
1474289686,4,48
1474289696,4,35
1474289706,3,25
1474289716,4,38
1474289726,10,76
1474289736,4,110
1474289746,9,495
1474289756,3,84
1474289766,5,83
1474289776,9,112
1474289786,5,48
1474289796,4,38
1474289806,5,61
1474289816,6,66
1474289826,7,60
1474289836,8,74
1474289846,1,33
1474289856,6,67
1474289866,8,179
1474289876,7,70
1474289886,4,77
1474289896,11,236
1474289906,5,62
1474289916,1,18
1474289926,5,63
1474289936,5,41
1474289946,8,69
1474289956,3,93
1474289966,7,123
1474289976,8,83
1474289986,7,173
1474289996,2,36
1474290006,3,25
1474290016,3,40
1474290026,3,23
1474290036,6,74
1474290046,3,33
1474290056,5,81
1474290066,4,31
1474290076,2,31
1474290086,7,113
1474290096,5,69
1474290106,6,101
1474290116,11,100
1474290126,7,104
1474290136,8,89
1474290146,6,49
1474290156,3,60
1474290166,3,29
1474290176,8,184
1474290186,2,33
1474290196,8,77
1474290206,7,66
1474290216,8,80
1474290226,6,92
1474290236,1,25
1474290246,8,98
1474290256,6,65
1474290266,4,57
1474290276,4,22
1474290286,5,54
1474290296,5,74
1474290307,7,71
1474290317,5,55
1474290327,7,101
1474290337,6,162
1474290347,11,93
1474290357,4,64
1474290367,3,78
1474290377,11,154
1474290387,4,88
1474290397,2,26
1474290407,3,18
1474290417,4,54
1474290427,6,49
1474290437,9,117
1474290447,6,80
1474290457,4,77
1474290467,6,67
1474290477,5,53
1474290487,5,83
1474290497,4,62
1474290507,6,99
1474290517,11,133
1474290527,10,357
1474290537,7,86
1474290547,9,82
1474290557,7,203
1474290567,5,74
1474290577,5,38
1474290587,4,43
1474290597,4,51
1474290607,3,30
1474290617,4,32
1474290627,5,38
#Long loop: REC=1
1474290637,5,63
1474290647,4,82
1474290657,3,27
1474290667,7,96
1474290677,3,28
1474290687,3,33
1474290697,6,49
1474290707,6,74
1474290717,5,51
1474290727,1,17
1474290737,5,55
1474290747,5,44
1474290757,5,51
1474290767,3,26
1474290777,7,53
1474290787,3,71
1474290797,7,112
1474290807,3,40
1474290817,2,21
1474290827,2,13
1474290837,3,35
1474290847,5,40
1474290857,7,239
1474290867,1,28
1474290877,3,21
1474290887,3,23
1474290897,9,124
1474290907,7,91
1474290917,6,70
1474290927,5,64
1474290937,5,129
1474290947,10,242
1474290957,3,41
1474290967,5,55
1474290977,2,51
1474290987,8,82
1474290997,5,48
1474291007,5,44
1474291017,4,41
1474291027,10,77
1474291037,6,97
1474291047,8,76
1474291057,3,48
1474291067,5,50
1474291077,9,138
1474291087,2,34
1474291097,5,51
1474291107,5,41
1474291117,5,46
1474291127,7,146
1474291137,4,65
1474291147,6,73
1474291157,8,103
1474291167,8,118
1474291177,5,62
1474291187,5,130
1474291197,8,178
1474291207,8,79
1474291217,6,185
1474291227,2,23
1474291237,9,106
1474291247,5,133
1474291257,12,135
1474291267,9,352
1474291277,2,23
1474291287,10,99
1474291297,5,58
1474291307,8,78
1474291317,5,64
1474291327,5,70
1474291337,7,92
1474291347,6,90
1474291357,10,116
1474291367,7,120
1474291378,0,0
1474291388,5,33
1474291398,6,94
1474291408,6,48
1474291418,3,34
1474291428,11,150
1474291438,4,122
1474291448,7,50
1474291458,2,46
1474291468,8,75
1474291478,8,75
1474291488,5,98
