CLICKS, MaxCPM5
1474378505,9,95
1474378515,5,113
1474378525,4,23
1474378535,6,63
1474378545,4,61
1474378555,9,112
1474378565,6,83
1474378575,6,59
1474378585,9,143
1474378595,5,72
1474378605,4,34
1474378615,8,91
1474378625,6,125
1474378635,4,49
1474378645,2,29
1474378655,3,16
1474378665,6,51
1474378675,3,34
1474378685,1,14
1474378695,9,137
1474378705,5,91
1474378715,8,212
1474378725,2,24
1474378735,4,48
1474378745,5,75
1474378755,3,26
1474378765,0,0
1474378775,7,46
1474378785,7,94
1474378795,6,71
1474378805,1,32
1474378815,6,56
1474378825,7,139
1474378835,6,70
1474378845,3,23
1474378855,3,31
1474378865,3,34
1474378875,5,30
1474378886,6,95
1474378896,8,79
1474378906,4,53
1474378916,3,26
1474378926,2,26
1474378936,8,84
1474378946,3,64
1474378956,7,50
1474378966,7,66
1474378976,5,105
1474378986,11,113
1474378996,6,156
1474379006,8,224
1474379016,4,97
1474379026,7,59
1474379036,12,112
1474379046,4,149
1474379056,3,28
1474379066,10,102
1474379076,5,50
1474379086,5,64
1474379096,8,141
1474379106,7,92
1474379116,8,94
1474379126,8,112
1474379136,8,90
1474379146,3,53
1474379156,6,39
1474379166,2,32
1474379176,6,46
1474379186,4,39
1474379196,7,62
1474379206,3,39
1474379216,5,41
1474379226,6,52
1474379236,7,125
1474379246,6,105
1474379256,3,29
1474379266,4,24
1474379276,5,58
1474379286,3,31
1474379296,7,106
1474379306,7,71
1474379316,5,49
1474379326,8,90
1474379336,6,62
1474379346,5,52
1474379356,4,46
1474379366,11,176
1474379376,1,23
1474379386,2,17
1474379396,4,22
1474379406,4,44
1474379416,1,20
1474379426,7,52
1474379436,1,24
1474379446,8,157
1474379456,6,57
1474379466,7,113
1474379476,7,76
1474379486,5,54
1474379496,4,45
1474379506,7,84
1474379516,2,44
1474379526,9,115
1474379536,5,48
1474379546,3,22
1474379556,10,167
1474379566,7,88
1474379576,6,66
1474379586,6,56
1474379596,9,124
1474379606,2,53
1474379616,2,19
1474379626,3,19
1474379636,3,20
1474379646,6,37
1474379656,7,65
1474379666,7,83
1474379676,11,196
1474379686,4,45
1474379696,5,57
1474379706,2,41
1474379716,6,67
1474379726,3,33
1474379736,7,121
1474379746,10,160
1474379756,6,67
1474379766,3,53
1474379776,7,77
1474379786,7,101
1474379796,2,25
1474379806,1,20
1474379816,4,17
1474379826,5,73
1474379836,7,129
1474379846,6,72
1474379856,5,62
1474379866,17,270
1474379876,3,33
1474379886,8,118
1474379896,6,45
1474379906,5,67
1474379916,3,35
1474379927,5,42
1474379937,7,96
1474379947,5,38
1474379957,5,59
1474379967,5,54
1474379977,6,41
1474379987,6,59
1474379997,4,54
1474380007,3,31
1474380017,2,24
1474380027,1,13
1474380037,8,54
1474380047,6,72
1474380057,4,33
1474380067,6,49
1474380077,5,66
1474380087,9,76
1474380097,12,219
1474380107,6,221
1474380117,8,209
1474380127,4,33
1474380137,7,167
1474380147,10,117
1474380157,3,61
1474380167,5,101
1474380177,1,31
1474380187,5,36
1474380197,6,56
1474380207,4,32
1474380217,4,32
1474380227,4,85
1474380237,7,51
1474380247,2,81
1474380257,8,84
1474380267,5,55
1474380277,4,85
1474380287,7,93
1474380297,5,83
1474380307,5,121
1474380317,4,30
1474380327,2,23
1474380337,5,46
1474380347,9,92
1474380357,4,108
1474380367,5,42
1474380377,7,54
1474380387,5,50
1474380397,5,47
1474380407,5,49
1474380417,4,50
1474380427,5,114
1474380437,1,27
1474380447,2,16
1474380457,4,22
1474380467,6,126
1474380477,5,52
1474380487,7,80
1474380497,12,207
1474380507,9,149
1474380517,9,106
1474380527,6,120
1474380537,4,49
1474380547,8,104
1474380557,5,42
1474380567,3,59
1474380577,5,44
1474380587,5,53
1474380597,5,47
1474380607,5,84
1474380617,7,65
1474380627,5,56
1474380637,6,79
1474380647,9,152
1474380657,7,120
1474380667,2,34
1474380677,5,44
1474380687,8,110
1474380697,4,36
1474380707,8,88
1474380717,8,109
1474380727,2,24
1474380737,3,32
1474380747,12,194
1474380757,4,66
1474380767,7,104
1474380777,5,118
1474380787,7,42
1474380797,9,129
1474380807,6,83
1474380817,9,299
1474380827,6,249
1474380837,9,101
1474380847,3,77
1474380857,10,111
